Epochs,Best ever for all nodes Layer .fc,Best current for all nodes Layer .fc,Best ever for all nodes Layer .layer_norm,Best current for all nodes Layer .layer_norm,Best ever for all nodes Layer .lstm,Best current for all nodes Layer .lstm
0,0.0004720415745396167,,,,,
1,0.0006665959372185171,,,,,
2,0.0007578650256618857,,,,,
3,0.0008189757936634123,,,,,
4,0.00014017535431776196,,,,,
5,0.00019993173191323876,,,,,
6,0.00026231230003759265,,,,,
7,0.00029840736533515155,,,,,
0,,,3.6608827258532983e-07,,,
1,,,3.6608827258532983e-07,,,
2,,,3.6608827258532983e-07,,,
3,,,3.6608827258532983e-07,,,
4,,,7.864914550737012e-07,,,
5,,,7.864914550737012e-07,,,
6,,,7.864914550737012e-07,,,
7,,,7.864914550737012e-07,,,
0,,,,,4.40239928138908e-05,
1,,,,,5.035313733969815e-05,
2,,,,,5.035313733969815e-05,
3,,,,,5.035313733969815e-05,
4,,,,,3.232353265048005e-05,
5,,,,,3.232353265048005e-05,
6,,,,,3.232353265048005e-05,
7,,,,,3.675034531624988e-05,
