Epochs,Validation Scores,Validation Running Scores,Train
0,0.8214436769485474,,
1,0.8203176259994507,,
2,0.8203176259994507,,
3,0.8197423815727234,,
4,0.8197423815727234,,
5,0.8195596933364868,,
6,0.8195596933364868,,
7,0.8253028392791748,,
8,0.8282786011695862,,
9,0.8249324560165405,,
10,0.830917477607727,,
11,0.8358995318412781,,
12,0.832908570766449,,
13,0.8315136432647705,,
14,0.8308427929878235,,
15,0.8306167125701904,,
16,0.8380317687988281,,
17,0.8486588597297668,,
18,0.8534429669380188,,
19,0.8663085103034973,,
0,,0.8214436769485474,
1,,0.8203176259994507,
2,,0.8203176259994507,
3,,0.8197423815727234,
4,,0.8197423815727234,
5,,0.8195596933364868,
6,,0.8195596933364868,
7,,0.8253028392791748,
8,,0.8282786011695862,
9,,0.8249324560165405,
10,,0.830917477607727,
11,,0.8358995318412781,
12,,0.832908570766449,
13,,0.8315136432647705,
14,,0.8308427929878235,
15,,0.8306167125701904,
16,,0.8380317687988281,
17,,0.8486588597297668,
18,,0.8534429669380188,
19,,0.8663085103034973,
0,,,0.9951555632911456
1,,,0.990920818529866
2,,,0.9878491496150327
3,,,0.9868039891972831
4,,,0.984220323594669
5,,,0.981666571308765
6,,,0.97681441392511
7,,,0.9746272064309218
8,,,0.9664659161853215
9,,,0.9594222768196371
10,,,0.9513836435991747
11,,,0.9422751976148921
12,,,0.9339829387266029
13,,,0.9265010558481603
14,,,0.9123922067475605
15,,,0.9049417124486696
16,,,0.8977831795873552
17,,,0.8901852121948495
18,,,0.884890500608213
19,,,0.8762746839250869
