Epochs,Best ever for all nodes Layer .fc,Best current for all nodes Layer .fc,Best ever for all nodes Layer .layer_norm,Best current for all nodes Layer .layer_norm,Best ever for all nodes Layer .lstm,Best current for all nodes Layer .lstm
0,0.00045016323565505445,,,,,
1,0.0006482021417468786,,,,,
2,0.0007727958727627993,,,,,
3,0.0008371567819267511,,,,,
0,,,3.6737895925398334e-07,,,
1,,,3.6737895925398334e-07,,,
2,,,3.6737895925398334e-07,,,
3,,,3.6737895925398334e-07,,,
0,,,,,1.6310139471897855e-05,
1,,,,,1.8015396562987007e-05,
2,,,,,2.8441141694202088e-05,
3,,,,,3.355254739290103e-05,
