Epochs,Validation Scores,Validation Running Scores,Train Loss,Val RSME
0,0.8219988346099854,,,
1,0.8225687146186829,,,
2,0.8219561576843262,,,
3,0.8219369649887085,,,
4,0.8204414248466492,,,
5,0.8204414248466492,,,
6,0.8204414248466492,,,
7,0.8204414248466492,,,
8,0.8204414248466492,,,
9,0.8205288648605347,,,
10,0.8205181360244751,,,
11,0.8255307674407959,,,
12,0.825254499912262,,,
13,0.8224297165870667,,,
14,0.827560544013977,,,
15,0.8248797059059143,,,
16,0.8288128972053528,,,
17,0.8318729400634766,,,
18,0.8316689729690552,,,
19,0.8369306921958923,,,
20,0.8312141299247742,,,
0,,0.8219988346099854,,
1,,0.8225687146186829,,
2,,0.8219561576843262,,
3,,0.8219369649887085,,
4,,0.8204414248466492,,
5,,0.8204414248466492,,
6,,0.8204414248466492,,
7,,0.8204414248466492,,
8,,0.8204414248466492,,
9,,0.8205288648605347,,
10,,0.8205181360244751,,
11,,0.8255307674407959,,
12,,0.825254499912262,,
13,,0.8224297165870667,,
14,,0.827560544013977,,
15,,0.8248797059059143,,
16,,0.8288128972053528,,
17,,0.8318729400634766,,
18,,0.8316689729690552,,
19,,0.8369306921958923,,
20,,0.8312141299247742,,
0,,,0.995550475915927,
1,,,0.9911456115754648,
2,,,0.9885639513615241,
3,,,0.9853071860828335,
4,,,0.9802808220114245,
5,,,0.9798095235070405,
6,,,0.9796511491284549,
7,,,0.9795086511213472,
8,,,0.979589425848984,
9,,,0.9763148872654624,
10,,,0.970843068350818,
11,,,0.9654636747556399,
12,,,0.960372427164999,
13,,,0.9557375990094338,
14,,,0.9505594427313342,
15,,,0.9455104956750969,
16,,,0.9373335378681458,
17,,,0.9336899178011663,
18,,,0.9313242595199881,
19,,,0.9277897528817599,
20,,,0.9252736698227323,
0,,,,0.044183149933815
1,,,,0.04419846087694168
2,,,,0.044182002544403076
3,,,,0.04418148845434189
4,,,,0.04414127767086029
5,,,,0.04414127767086029
6,,,,0.04414127767086029
7,,,,0.04414127767086029
8,,,,0.04414127767086029
9,,,,0.04414362460374832
10,,,,0.04414333775639534
11,,,,0.04427797347307205
12,,,,0.04427056387066841
13,,,,0.04419473186135292
14,,,,0.04433237016201019
15,,,,0.04426050931215286
16,,,,0.04436590522527695
17,,,,0.044447727501392365
18,,,,0.04444228485226631
19,,,,0.04458264634013176
20,,,,0.04443012550473213
