Epochs,Normal Epoch Times,PAI Epoch Times
0,118.83983898162842,
1,419.56797218322754,
2,677.309858083725,
3,135.68167090415955,
4,136.63571882247925,
5,294.6388521194458,
6,325.40605115890503,
7,307.4986410140991,
8,349.21508598327637,
9,380.36798071861267,
10,307.04819917678833,
11,297.3308672904968,
12,301.3126678466797,
13,299.5727150440216,
14,297.9018940925598,
15,301.26104497909546,
16,305.64821696281433,
17,304.69136786460876,
18,318.6766200065613,
19,306.7255129814148,
0,,540.1799449920654
1,,520.3309917449951
2,,520.0270440578461
3,,435.84466218948364
