Epochs,Validation Scores,Validation Running Scores,Train
0,0.8214436769485474,,
1,0.8203176259994507,,
2,0.8203176259994507,,
3,0.8197423815727234,,
4,0.8197423815727234,,
5,0.8195596933364868,,
6,0.8259010910987854,,
7,0.8242217302322388,,
8,0.8272389769554138,,
9,0.8290054202079773,,
10,0.8272135257720947,,
11,0.8312686681747437,,
12,0.829326331615448,,
13,0.8314163684844971,,
14,0.8298953175544739,,
15,0.8349039554595947,,
0,,0.8214436769485474,
1,,0.8203176259994507,
2,,0.8203176259994507,
3,,0.8197423815727234,
4,,0.8197423815727234,
5,,0.8195596933364868,
6,,0.8259010910987854,
7,,0.8242217302322388,
8,,0.8272389769554138,
9,,0.8290054202079773,
10,,0.8272135257720947,
11,,0.8312686681747437,
12,,0.829326331615448,
13,,0.8314163684844971,
14,,0.8298953175544739,
15,,0.8349039554595947,
0,,,0.9951555632911456
1,,,0.990920818529866
2,,,0.9878491496150327
3,,,0.9868039891972831
4,,,0.984220323594669
5,,,0.981666571308765
6,,,0.9738371065977702
7,,,0.9656590131095457
8,,,0.9570630138122566
9,,,0.948779524278936
10,,,0.9404777950072272
11,,,0.9334512563491374
12,,,0.9191951888446029
13,,,0.9106848918398455
14,,,0.903930906276735
15,,,0.8969735031974793
